geo2,geocodenum,p_hs_sigungu2006,p_hs_sido2006,mean2006,gini2006,theil2006,low_inc_dong2006,hi_inc_dong2006,low_inc_sigungu2006,hi_inc_sigungu2006,hsppl2006,d_inc_sigungu2006,x_inc_sigungu_low2006,x_inc_sigungu_high2006,d_inc_sido2006,x_inc_sido_low2006,x_inc_sido_high2006,geocode_str,p_hs_sigungu2010,p_hs_sido2010,mean2010,gini2010,theil2010,low_inc_dong2010,hi_inc_dong2010,low_inc_sigungu2010,hi_inc_sigungu2010,hsppl2010,d_inc_sigungu2010,x_inc_sigungu_low2010,x_inc_sigungu_high2010,d_inc_sido2010,x_inc_sido_low2010,x_inc_sido_high2010
전라남도 광양시,36060,,,,,,,,,,,,,,,,,13-186-011,.1036327,.019393677,378.67831,.31740576,.18182281,2815,789,94,93,701,.28334478,.39862227,.40290853,.33811861,.180142,.71485746
전라남도 담양군,36310,,,,,,,,,,,,,,,,,13-187-011,.13868414,.019393677,334.4566,.45205626,.37811938,2815,789,86,26,225,.29159212,.20417237,.67533934,.33811861,.180142,.71485746
전라남도 곡성군,36320,,,,,,,,,,,,,,,,,13-188-011,.094279505,.019393677,257.09576,.36754102,.25057513,2815,789,101,7,218,.57991511,.054905057,.79220152,.33811861,.180142,.71485746
전라남도 구례군,36330,,,,,,,,,,,,,,,,,13-189-011,.049364582,.019393677,207.48212,.39224559,.26852047,2815,789,70,4,121,.65714288,.048979592,.85714287,.33811861,.180142,.71485746
전라남도 고흥군,36350,,,,,,,,,,,,,,,,,13-190-011,.065505743,.019393677,304.81387,.38931096,.28126124,2815,789,145,23,366,.47916043,.11633755,.73343235,.33811861,.180142,.71485746
전라남도 보성군,36360,,,,,,,,,,,,,,,,,13-191-011,.082323216,.019393677,252.8037,.38570943,.28990191,2815,789,107,8,227,.66004676,.057655998,.77114898,.33811861,.180142,.71485746
전라남도 화순군,36370,,,,,,,,,,,,,,,,,13-192-011,.11351322,.019393677,270.99054,.37966114,.27663699,2815,789,186,16,412,.44825268,.074203789,.86261904,.33811861,.180142,.71485746
전라남도 장흥군,36380,,,,,,,,,,,,,,,,,13-193-011,.072595641,.019393677,331.74268,.37562454,.25844735,2815,789,84,23,238,.62370598,.14353772,.5242247,.33811861,.180142,.71485746
전라남도 강진군,36390,,,,,,,,,,,,,,,,,13-194-011,.047217958,.019393677,269.49252,.35764337,.24020383,2815,789,75,6,160,.56,.06700483,.83756042,.33811861,.180142,.71485746
전라남도 해남군,36400,,,,,,,,,,,,,,,,,13-195-011,.056033567,.019393677,253.8927,.38112003,.26874468,2815,789,104,8,215,.58653843,.057243239,.74416208,.33811861,.180142,.71485746
전라남도 영암군,36410,,,,,,,,,,,,,,,,,13-196-011,.099427544,.019393677,298.97784,.34337661,.24379943,2815,789,108,11,377,.53872055,.076213911,.74828202,.33811861,.180142,.71485746
전라남도 무안군,36420,,,,,,,,,,,,,,,,,13-197-011,.07463862,.019393677,329.21603,.35831895,.23676889,2815,789,132,27,378,.79713804,.087250918,.42656007,.33811861,.180142,.71485746
전라남도 함평군,36430,,,,,,,,,,,,,,,,,13-198-011,.088695742,.019393677,393.92639,.49521688,.44665766,2815,789,103,8,217,.66140777,.060643818,.7807892,.33811861,.180142,.71485746
전라남도 영광군,36440,,,,,,,,,,,,,,,,,13-199-011,.096053593,.019393677,306.56586,.37111741,.25515598,2815,789,97,16,265,.51546389,.11974383,.72594696,.33811861,.180142,.71485746
전라남도 장성군,36450,,,,,,,,,,,,,,,,,13-200-011,.069180749,.019393677,272.18082,.41744515,.31990731,2815,789,93,9,216,.40860215,.082416192,.85163397,.33811861,.180142,.71485746
전라남도 완도군,36460,,,,,,,,,,,,,,,,,13-201-011,.051516548,.019393677,341.65503,.41916534,.32884741,2815,789,73,17,202,.30298147,.17472778,.75030166,.33811861,.180142,.71485746
전라남도 진도군,36470,,,,,,,,,,,,,,,,,13-202-011,.059578303,.019393677,267.77994,.36151946,.25055298,2815,789,67,5,154,.41194031,.063739739,.85411257,.33811861,.180142,.71485746
전라남도 신안군,36480,,,,,,,,,,,,,,,,,13-203-011,.055396937,.019393677,144.82468,.33912158,.22279401,2815,789,42,0,55,0,0,0,.33811861,.180142,.71485746
경상북도 포항시,37010,,,,,,,,,,,,,,,,,14-204-011,.086306289,.022764748,379.55072,.33363894,.20536174,2815,789,194,142,1136,.47705823,.2946862,.40259945,.25659272,.20520614,.72350812
경상북도 경주시,37020,,,,,,,,,,,,,,,,,14-206-011,.061385192,.022764748,322.91336,.30523494,.18210068,2815,789,339,86,1407,.39003223,.17276444,.68101329,.25659272,.20520614,.72350812
